Name,Year,USENIX_ATC,USENIX_FAST,DSN,HPDC,IEEECluster,HPCA,ICS,ISC
Phillip Gibbons,2019,1,0,0,0,0,0,0,0
Cristiano Giuffrida,2019,1,0,0,0,0,0,0,0
Boris Grot,2019,1,0,0,0,0,0,0,0
Boris Grot,2018,0,0,0,0,0,1,0,0
Steven Hand,2019,1,0,0,0,0,0,0,0
Liting Hu,2019,1,0,0,0,0,0,0,0
Manos Kapritsos,2019,1,0,0,0,0,0,0,0
Kimberly Keeton,2019,1,1,0,0,0,0,0,0
Kimberly Keeton,2020,0,1,0,0,0,0,0,0
Samira Khan,2019,1,0,0,0,0,0,0,0
Samira Khan,2018,1,0,0,0,0,1,0,0
Taesoo Kim,2019,1,0,0,0,0,0,0,0
Taesoo Kim,2018,1,0,0,0,0,0,0,0
Sam King,2019,1,0,0,0,0,0,0,0
Aasheesh Kolli,2019,1,0,0,0,0,1,0,0
Aasheesh Kolli,2020,0,0,0,0,0,1,0,0
Dejan Kostic,2019,1,0,0,0,0,0,0,0
Geoff Kuenning,2019,1,1,0,0,0,0,0,0
Geoff Kuenning,2020,0,1,0,0,0,0,0,0
Patrick P.C. Lee,2019,1,0,0,0,0,0,0,0
Patrick P.C. Lee,2020,0,1,1,0,0,0,0,0
Xing Lin,2019,1,0,0,0,0,0,0,0
Xing Lin,2018,1,0,0,0,0,0,0,0
Ethan L. Miller,2019,1,0,0,0,0,0,0,0
Ethan L. Miller,2020,0,1,0,0,0,0,0,0
Ethan L. Miller,2018,0,1,0,0,0,0,0,0
Adam Morrison,2019,1,0,0,0,0,0,0,0
Dushyanth Narayanan,2019,1,0,0,0,0,0,0,0
Dushyanth Narayanan,2018,0,1,0,0,0,0,0,0
David Nellans,2019,1,0,0,0,0,0,0,0
Ed Nightingale,2019,1,0,0,0,0,0,0,0
Ed Nightingale,2018,0,1,0,0,0,0,0,0
Sam H. Noh,2019,1,1,0,0,0,0,0,0
Sam H. Noh,2020,0,1,0,0,0,0,0,0
Sam H. Noh,2018,0,1,0,0,0,0,0,0
Peter Pietzuch,2019,1,0,1,0,0,0,0,0
Don Porter,2019,1,0,0,0,0,0,0,0
Don Porter,2020,0,1,0,0,0,0,0,0
Michael Reiter,2019,1,0,0,0,0,0,0,0
Scott Rixner,2019,1,0,0,0,0,0,0,0
Timothy Roscoe,2019,1,0,0,0,0,0,0,0
Chris Rossbach,2019,1,0,0,0,0,0,0,0
Leonid Ryzhyk,2019,1,0,0,0,0,0,0,0
Bianca Schroeder,2019,1,1,0,0,0,0,0,0
Bianca Schroeder,2018,0,1,0,0,0,0,0,0
Liuba Shrira,2019,1,0,0,0,0,0,0,0
Liuba Shrira,2018,0,0,1,0,0,0,0,0
Keith A. Smith,2019,1,1,0,0,0,0,0,0
Keith A. Smith,2018,1,1,0,0,0,0,0,0
Keith A. Smith,2020,0,1,0,0,0,0,0,0
Michael Stumm,2019,1,0,0,0,0,0,0,0
Ryan Stutsman,2019,1,0,0,0,0,0,0,0
Steve Swanson,2019,1,0,0,0,0,0,0,0
Michael Swift,2019,1,0,0,0,0,0,0,0
Nisha Talagala,2019,1,1,0,0,0,0,0,0
Chia-Che Tsai,2019,1,0,0,0,0,0,0,0
Joseph Tucek,2019,1,1,0,0,0,0,0,0
Haris Volos,2019,1,0,0,0,0,0,0,0
Marko Vukolic,2019,1,0,0,0,0,0,0,0
Marko Vukolic,2018,0,0,1,0,0,0,0,0
Carl Waldspurger,2019,1,1,0,0,0,0,0,0
Carl Waldspurger,2020,0,1,0,0,0,0,0,0
Dan Williams,2019,1,0,0,0,0,0,0,0
Youjip Won,2019,1,1,0,0,0,0,0,0
Youjip Won,2018,1,1,0,0,0,0,0,0
Youjip Won,2020,0,1,0,0,0,0,0,0
Gala Yadgar,2019,1,1,0,0,0,0,0,0
Gala Yadgar,2018,1,1,0,0,0,0,0,0
Gala Yadgar,2020,0,1,0,0,0,0,0,0
Yuval Yarom,2019,1,0,0,0,0,0,0,0
Erez Zadok,2019,1,0,0,0,0,0,0,0
Zheng (Eddy) Zhang,2019,1,0,0,0,0,0,0,0
Zheng (Eddy) Zhang,2018,1,0,0,0,0,0,0,0
Aruna Balasubramanian,2018,1,0,0,0,0,0,0,0
Theophilus Benson,2018,1,0,0,0,0,0,0,0
John Bent,2018,1,0,0,0,0,0,0,0
John Bent,2020,0,1,0,0,0,0,0,0
Alex Biryukov,2018,1,0,0,0,0,0,0,0
Dhruba Borthakur,2018,1,0,0,0,0,0,0,0
Nathan Bronson,2018,1,0,0,0,0,0,0,0
Irina Calciu,2018,1,0,0,0,0,0,0,0
Michael Carbin,2018,1,0,0,0,0,0,0,0
David Chu,2018,1,0,0,0,0,0,0,0
Peter Desnoyers,2018,1,0,0,0,0,0,0,0
Peter Desnoyers,2019,0,1,0,0,0,0,0,0
Yufei Ding,2018,1,0,0,0,0,0,0,0
Yufei Ding,2019,0,0,0,0,0,0,0,1
Pierre-Alain Fouque,2018,1,0,0,0,0,0,0,0
Lakshmi Ganesh,2018,1,0,0,0,0,0,0,0
Phillipa Gill,2018,1,0,0,0,0,0,0,0
Indranil Gupta,2018,1,0,0,0,0,0,0,0
Dean Hildebrand,2018,1,1,0,1,0,0,0,0
Dean Hildebrand,2020,0,1,0,1,0,0,0,0
H. Howie Huang,2018,1,0,0,0,0,0,0,0
H. Howie Huang,2020,0,1,0,1,0,0,0,0
H. Howie Huang,2019,0,0,0,0,0,0,0,1
Ryan Huang,2018,1,0,0,0,0,0,0,0
David Irwin,2018,1,0,0,1,0,0,0,0
David Irwin,2019,0,0,0,1,0,0,0,0
Flavio Junqueira,2018,1,0,0,0,0,0,0,0
Asim Kadav,2018,1,0,0,0,0,0,0,0
Konstantinos Karanasos,2018,1,0,0,0,0,0,0,0
Achmad Kistijantoro,2018,1,0,0,0,0,0,0,0
I-Ting Angelina Lee,2018,1,0,0,0,0,0,0,0
Tanakorn Leesatapornwongsa,2018,1,0,0,0,0,0,0,0
Cheng Li,2018,1,0,0,0,0,0,0,0
Jinyang Li,2018,1,0,0,0,0,0,0,0
Dahlia Malkhi,2018,1,0,0,0,0,0,0,0
Iqbal Mohomed,2018,1,0,0,0,0,0,0,0
Cristina Nita-Rotaru,2018,1,0,1,0,0,0,0,0
Vijayan Prabhakaran,2018,1,1,0,0,0,0,0,0
Christopher J. Rossbach,2018,1,0,0,0,0,0,0,0
Haiying Shen,2018,1,0,0,0,0,0,0,0
Alex Shraer,2018,1,0,0,0,0,0,0,0
Brent Stephens,2018,1,0,0,0,0,0,0,0
Christopher Stewart,2018,1,0,0,0,0,0,0,0
Swaminathan Sundararaman,2018,1,0,0,0,0,0,0,0
Swaminathan Sundararaman,2019,0,1,0,0,0,0,0,0
Bhuvan Urgaonkar,2018,1,0,0,0,0,0,0,0
Peter Varman,2018,1,0,0,0,0,0,0,0
Peter Varman,2020,0,0,0,0,0,1,0,0
Shivaram Venkataraman,2018,1,0,0,0,0,0,0,0
Andrew Wang,2018,1,0,0,0,0,0,0,0
Antonia Zhai,2018,1,0,0,0,0,0,0,0
Antonia Zhai,2020,0,0,0,0,0,1,0,0
Irene Zhang,2018,1,0,0,0,0,0,0,0
Yiying Zhang,2018,1,0,0,0,0,0,0,0
Yiying Zhang,2019,0,1,0,0,0,0,0,0
Suparna Bhattacharya,2020,0,1,0,0,0,0,0,0
William J. Bolosky,2020,0,1,0,0,0,0,0,0
André Brinkmann,2020,0,1,0,0,0,0,0,0
André Brinkmann,2019,0,1,0,0,0,0,0,1
Ali R. Butt,2020,0,1,0,1,1,0,0,0
Ali R. Butt,2018,0,0,0,1,1,0,1,0
Gary Grider,2020,0,1,0,0,0,0,0,0
Haryadi Gunawi,2020,0,1,0,0,0,0,0,0
Haryadi Gunawi,2019,0,1,0,0,0,0,0,0
Haryadi Gunawi,2018,0,1,0,0,0,0,0,0
Jooyoung Hwang,2020,0,1,0,0,0,0,0,0
Sungjin Lee,2020,0,1,0,0,0,0,0,0
Sungjin Lee,2019,0,1,0,0,0,0,0,0
Darrell Long,2020,0,1,0,0,0,0,0,0
Umesh Maheshwari,2020,0,1,0,0,0,0,0,0
Umesh Maheshwari,2019,0,1,0,0,0,0,0,0
Umesh Maheshwari,2018,0,1,0,0,0,0,0,0
Dalit Naor,2020,0,1,0,0,0,0,0,0
Rob Ross,2020,0,1,0,0,0,0,0,0
Vasily Tarasov,2020,0,1,0,0,0,0,0,0
Vasily Tarasov,2019,0,1,0,1,0,0,0,0
Vasily Tarasov,2018,0,1,0,0,0,0,0,0
Devesh Tiwari,2020,0,1,1,1,0,1,0,0
Devesh Tiwari,2019,0,0,1,1,0,0,0,0
Devesh Tiwari,2018,0,0,1,0,0,0,0,0
Brent Welch,2020,0,1,0,0,0,0,0,0
Brent Welch,2019,0,1,0,0,0,0,0,0
Jishen Zhao,2020,0,1,0,0,0,1,0,0
Jishen Zhao,2019,0,0,0,0,1,1,0,0
Jishen Zhao,2018,0,0,0,0,0,1,0,0
Ajay Gulati,2019,0,1,0,0,0,0,0,0
Cheng Huang,2019,0,1,0,0,0,0,0,0
Cheng Huang,2018,0,1,0,0,0,0,0,0
Rob Johnson,2019,0,1,0,0,0,0,0,0
Arif Merchant,2019,0,1,0,0,0,0,0,0
Arif Merchant,2018,0,1,0,0,0,0,0,0
Onur Mutlu,2019,0,1,1,0,0,0,0,0
Onur Mutlu,2020,0,0,1,0,0,0,0,0
Onur Mutlu,2018,0,0,0,0,0,1,1,0
Florentina Popovici,2019,0,1,0,0,0,0,0,0
Ken Salem,2019,0,1,0,0,0,0,0,0
Ioan Stefanovici,2019,0,1,0,0,0,0,0,0
Andrew Warfield,2019,0,1,0,0,0,0,0,0
Andrew Warfield,2018,0,1,0,0,0,0,0,0
Hakim Weatherspoon,2019,0,1,0,0,0,0,0,0
Kevin Greenan,2018,0,1,0,0,0,0,0,0
Jorge Guerra,2018,0,1,0,0,0,0,0,0
Hong Jiang,2018,0,1,0,0,0,0,0,0
Cristian Ungureanu,2018,0,1,0,0,0,0,0,0
Ashish Vulimiri,2018,0,1,0,0,0,0,0,0
Sage Weil,2018,0,1,0,0,0,0,0,0
﻿Yair Amir,2020,0,0,1,0,0,0,0,0
Homa Alemzadeh,2020,0,0,1,0,0,0,0,0
Homa Alemzadeh,2019,0,0,1,0,0,0,0,0
Homa Alemzadeh,2018,0,0,1,0,0,0,0,0
Alysson Bessani,2020,0,0,1,0,0,0,0,0
Alysson Bessani,2019,0,0,1,0,0,0,0,0
Alysson Bessani,2018,0,0,1,0,0,0,0,0
Andrea Bondavalli,2020,0,0,1,0,0,0,0,0
Andrea Bondavalli,2018,0,0,1,0,0,0,0,0
Sara Bouchenak,2020,0,0,1,0,0,0,0,0
Sara Bouchenak,2019,0,0,1,0,0,0,0,0
Sara Bouchenak,2018,0,0,1,0,0,0,0,0
Peter Buchholz,2020,0,0,1,0,0,0,0,0
Giuliano Casale,2020,0,0,1,0,0,0,0,0
Giuliano Casale,2018,0,0,1,0,0,0,0,0
Giuliano Casale,2019,0,0,0,1,0,0,0,0
Shuo Chen,2020,0,0,1,0,0,0,0,0
Shuo Chen,2019,0,0,1,0,0,0,0,0
Lydia Y. Chen,2020,0,0,1,0,0,0,0,0
Lydia Y. Chen,2019,0,0,1,0,0,0,0,0
Lydia Y. Chen,2018,0,0,1,0,0,0,0,0
Lucy Cherkasova,2020,0,0,1,0,0,0,0,0
Miguel Correia,2020,0,0,1,0,0,0,0,0
Miguel Correia,2019,0,0,1,0,0,0,0,0
Miguel Correia,2018,0,0,1,0,0,0,0,0
Michel Cukier,2020,0,0,1,0,0,0,0,0
Michel Cukier,2018,0,0,1,0,0,0,0,0
Marc Dacier,2020,0,0,1,0,0,0,0,0
Marc Dacier,2018,0,0,1,0,0,0,0,0
Elias Duarte,2020,0,0,1,0,0,0,0,0
Elias Duarte,2019,0,0,1,0,0,0,0,0
Elias Duarte,2018,0,0,1,0,0,0,0,0
Manuel Egele,2020,0,0,1,0,0,0,0,0
Sameh Elnikety,2020,0,0,1,0,0,0,0,0
Sameh Elnikety,2019,0,0,1,0,0,0,0,0
Ryan Gerdes,2020,0,0,1,0,0,0,0,0
Dimitris Gizopoulos,2020,0,0,1,0,0,0,0,0
Neil Gong,2020,0,0,1,0,0,0,0,0
Zhongshu Gu,2020,0,0,1,0,0,0,0,0
Shuai Hao,2020,0,0,1,0,0,0,0,0
Yennun Huang,2020,0,0,1,0,0,0,0,0
Yennun Huang,2019,0,0,1,0,0,0,0,0
Gueyoung Jung,2020,0,0,1,0,0,0,0,0
Zbigniew Kalbarczyk,2020,0,0,1,0,0,0,0,0
Zbigniew Kalbarczyk,2019,0,0,1,0,0,0,0,0
Rudiger Kapitza,2020,0,0,1,0,0,0,0,0
Rudiger Kapitza,2019,0,0,1,0,0,0,0,0
Joost-Pieter Katoen,2020,0,0,1,0,0,0,0,0
Kaustubh Joshi (co-chair),2020,0,0,1,0,0,0,0,0
Chung Hwan Kim,2020,0,0,1,0,0,0,0,0
Dong Seong Kim,2020,0,0,1,0,0,0,0,0
Dong Seong Kim,2019,0,0,1,0,0,0,0,0
Kenji Kono,2020,0,0,1,0,0,0,0,0
Kenji Kono,2019,0,0,1,0,0,0,0,0
Kenji Kono,2018,0,0,1,0,0,0,0,0
Sy-Yen Kuo,2020,0,0,1,0,0,0,0,0
Dmitrii Kuvaiskii,2020,0,0,1,0,0,0,0,0
Zhiqiang Lin,2020,0,0,1,0,0,0,0,0
Qi Li,2020,0,0,1,0,0,0,0,0
Peng Liu,2020,0,0,1,0,0,0,0,0
Michael Lyu,2020,0,0,1,0,0,0,0,0
Michael Lyu,2019,0,0,1,0,0,0,0,0
Michael Lyu,2018,0,0,1,0,0,0,0,0
Nuno Neves,2020,0,0,1,0,0,0,0,0
Nuno Neves,2019,0,0,1,0,0,0,0,0
Miroslav Pajic,2020,0,0,1,0,0,0,0,0
Karthik Pattabiraman,2020,0,0,1,1,0,0,0,0
Karthik Pattabiraman,2018,0,0,1,0,0,0,0,0
Karthik Pattabiraman,2019,0,0,0,1,0,0,0,0
Michael Paulitsch,2020,0,0,1,0,0,0,0,0
Fernando Pedone,2020,0,0,1,0,0,0,0,0
Fernando Pedone,2018,0,0,1,0,0,0,0,0
Sebastiano Peluso,2020,0,0,1,0,0,0,0,0
Atul Prakash,2020,0,0,1,0,0,0,0,0
William Sanders,2020,0,0,1,0,0,0,0,0
Richard Schlichting,2020,0,0,1,0,0,0,0,0
Lorenzo Strigini,2020,0,0,1,0,0,0,0,0
Kun Sun,2020,0,0,1,0,0,0,0,0
Neeraj Suri,2020,0,0,1,0,0,0,0,0
Neeraj Suri,2019,0,0,1,0,0,0,0,0
Timothy Tsai,2020,0,0,1,0,0,0,0,0
Timothy Tsai,2019,0,0,1,0,0,0,0,0
Nektarios Tsoutsos,2020,0,0,1,0,0,0,0,0
Osman Unsal,2020,0,0,1,0,1,0,1,0
Osman Unsal,2019,0,0,0,0,1,0,0,0
Osman Unsal,2018,0,0,0,0,1,0,1,0
Paulo Verissimo,2020,0,0,1,0,0,0,0,0
Jia Wang,2020,0,0,1,0,0,0,0,0
Long Wang,2020,0,0,1,0,0,0,0,0
Long Wang,2019,0,0,1,0,0,0,0,0
Gang Wang,2020,0,0,1,0,0,0,0,0
Haining Wang (co-chair),2020,0,0,1,0,0,0,0,0
Katinka Wolter,2020,0,0,1,0,0,0,0,0
Katinka Wolter,2018,0,0,1,0,0,0,0,0
Timothy Wood,2020,0,0,1,0,0,0,0,0
